,price,brand,discount,color,department,Quantity
0,17.746122888056725,H&M,0.08852870013893685,#e2a885,kids,3.0
1,2.4176169477170264,H&M,0.08706246166319756,#dbb41a,women,1.0
2,15.137209895771747,Fendi,0.1056184397814618,#7de09c,kids,3.0
3,53.959366524527,H&M,0.058138814747974714,#34b7db,girl,1.0
4,1.3908399963415763,Lululemon,0.0738471882833967,#f4a7a1,kids,3.0
5,152.30767377368505,Gucci,0.2573088832026335,#7dedcd,women,2.0
6,35.37829140947621,Armani,0.0622876163165549,#ed6fde,kids,3.0
7,36.01443133950588,Lululemon,0.05488305120348764,#d313a6,kids,1.0
8,34.797899797461184,Louis vuitton,0.0838982125836378,#05916c,women,2.0
9,9.894697583485051,Armani,0.08843149284147435,#e1f79b,men,2.0
10,941.8341254252442,Fendi,0.16587457475582956,#93f9e7,boys,3.0
11,3554.829069061589,Fendi,0.17093093841076018,#efa98f,girl,1.0
12,215.94020961192973,Chanel,0.05979038807027336,#ed9cdd,boys,3.0
13,791.9184156710348,Joe Fresh,0.08158432896511694,#56ffb8,kids,3.0
14,3685.7541944766094,Gucci,0.24580552339050077,#f2f791,kids,2.0
15,1343.931378940267,Armani,0.06862105973307496,#c60519,girl,3.0
16,957.9139918852061,Louis vuitton,0.08600811479385845,#8291e0,kids,1.0
17,344.9162686780419,Lululemon,0.08373132195811786,#8a6cc1,women,3.0
18,4717.917741398591,Louis vuitton,0.08225860140957622,#e281ef,boys,1.0
19,3166.9251860550735,Lululemon,0.07481394492661438,#f2a993,kids,2.0
20,4442.921720186127,Prada,0.07827981387365157,#f916aa,women,1.0
21,1062.9395946465454,Prada,0.06040535345469374,#8572db,girl,2.0
22,2410.902090125402,H&M,0.09790987459790079,#e086bf,men,2.0
23,3264.948267271456,H&M,0.051732728543715495,#010389,girl,2.0
24,2357.9002075176513,Louis vuitton,0.09979248234858618,#afffef,kids,1.0
25,3756.9446526609513,H&M,0.055347339048887945,#f957b6,boys,1.0
26,2276.910700723206,Armani,0.08929927679412387,#56ea65,kids,3.0
27,1958.9306846601664,Chanel,0.06931533983355395,#f291b6,girl,1.0
28,3684.906297669609,Armani,0.09370233039081327,#9aa6e0,women,1.0
29,3058.9129583839685,H&M,0.08704161603160489,#c0aaed,women,3.0
30,655.9467279306732,Chanel,0.053272069326838145,#5b37c6,men,1.0
31,375.9346475040329,H&M,0.06535249596707524,#e288d6,kids,2.0
32,4024.8289353429623,Fendi,0.17106465703791207,#08ce6e,men,2.0
